Ward,Address,Height,Diameter,Age Class,Species
"Hendon(A)
",Sunny Gardens Parade,17.5,80,Mature,"Catalpabignonioides
"
"Hendon(A)
",The Burroughs Library,3,8,,"VacantTreepit
"
"Hendon(A)
",The Burroughs Library,3,8,,"VoidTreepit
"
"Hendon(A)
",The Burroughs Library,3,20,Semi-Mature,"Cryptomeriajaponica
"
"Hendon(A)
",The Burroughs Library,3,12,Early,"FraxinusexcelsiorPendula
"
"Hendon(A)
",The Burroughs Library,3,16,Early,"FraxinusexcelsiorPendula
"
"Hendon(A)
",Abbots Road allotments,14,90,,"Quercusrobur
"
"Hendon(A)
",Montrose Allotments,7.5,60,Semi-Mature,"Quercusrobur
"
"Hendon(A)
",Montrose Allotments,5,25,Early Mature,"SambucusNigra
"
"Hendon(A)
",Montrose Allotments,5,19,Early Mature,"Quercussp.
"
"Hendon(A)
",Montrose Allotments,5,28,Early Mature,"Quercussp.
"
"Hendon(A)
",Montrose Allotments,4,13,Semi-Mature,"Prunusspinosa
"
"Hendon(A)
",Montrose Allotments,5,17,Semi-Mature,"PrunuscerasiferaNigra
"
"Hendon(A)
",Montrose Allotments,4,20,Early Mature,"Ulmusprocera
"
"Hendon(A)
",Montrose Allotments,3,11,Early,"Quercussp.
"
"Hendon(A)
",Montrose Allotments,3,15,Early Mature,"SambucusNigra
"
"Hendon(A)
",Montrose Allotments,3,20,Early Mature,"Aesculushippocastanum
"
"Hendon(A)
",Montrose Allotments,4,29,Semi-Mature,"Crataegusmonogyna
"
"Hendon(A)
",Montrose Allotments,3,25,Semi-Mature,"Crataegusmonogyna
"
"Hendon(A)
",Montrose Allotments,3.5,29,Semi-Mature,"SambucusNigra
"
"Hendon(A)
",Montrose Allotments,11,120,Mature,"Fraxinusexcelsior
"
"Hendon(A)
",Montrose Allotments,3,12,Early,"Ulmusprocera
"
"Hendon(A)
",Montrose Allotments,3,16,Early,"Ulmusprocera
"
"Hendon(A)
",Montrose Allotments,3,14,Early,"Ulmusprocera
"
"Hendon(A)
",Montrose Allotments,3,17,Early Mature,"Ulmusprocera
"
"Hendon(A)
",Montrose Allotments,3,17,Early Mature,"Ulmusprocera
"
"Hendon(A)
",Montrose Allotments,5,38,Semi-Mature,"SambucusNigra
"
"Hendon(A)
",Montrose Allotments,3,15,Early Mature,"Ulmusprocera
"
"Hendon(A)
",Montrose Allotments,4.5,18,Early Mature,"Aesculushippocastanum
"
"Hendon(A)
",Montrose Allotments,8,38,Semi-Mature,"Aesculusflava
"
"Hendon(A)
",Needham Terrace Allotment,4,25,Early Mature,"Chamaecyparislawsoniana
"
"Hendon(A)
",Needham Terrace Allotment,5,18,Early Mature,"Chamaecyparislawsoniana
"
"Hendon(A)
",Needham Terrace Allotment,4,13,Early Mature,"Chamaecyparislawsoniana
"
"Hendon(A)
",Needham Terrace Allotment,4,13,Early Mature,"Chamaecyparislawsoniana
"
"Hendon(A)
",Needham Terrace Allotment,4,13,Early Mature,"Chamaecyparislawsoniana
"
"Hendon(A)
",Needham Terrace Allotment,4,14,Early Mature,"Chamaecyparislawsoniana
"
"Hendon(A)
",Needham Terrace Allotment,8.5,38,Semi-Mature,"Pinusnigra
"
"Hendon(A)
",Needham Terrace Allotment,3,38,Early Mature,"SambucusNigra
"
"Hendon(A)
",Childs Hill Allotment,11,80,Mature,"Platanusxhispanica
"
"Hendon(A)
",Childs Hill Allotment,4,27,Early Mature,"Corylusavellana
"
"Hendon(A)
",Childs Hill Allotment,3.5,25,Semi-Mature,"Prunussp.
"
"Hendon(A)
",Childs Hill Allotment,3,38,Semi-Mature,"Prunussp.
"
"Hendon(A)
",Childs Hill Allotment,7,38,Semi-Mature,"Prunussp.
"
"Hendon(A)
",Childs Hill Allotment,7,48,Semi-Mature,"Pyrussp.
"
"Hendon(A)
",Booth Road Allotments,5,22,Early Mature,"Betulapendula
"
"Hendon(A)
",Booth Road Allotments,4,27,Early Mature,"Betulapendula
"
"Hendon(A)
",Booth Road Allotments,5,36,Semi-Mature,"Tiliaxeuropea
"
"Hendon(A)
",Halliwick Allotments,15,40,,"Quercusrobur
"
"Hendon(A)
",The Crescent Allotments,9,94,Mature,"Populusspecies
"
"Hendon(A)
",The Crescent Allotments,20,70,Mature,"Quercusrobur
"
"Hendon(A)
",The Crescent Allotments,16,76,Mature,"Quercusrobur
"
"Hendon(A)
",Cat Hill Allotments,4,45,Semi-Mature,"Fraxinusexcelsior
"
"Hendon(A)
",Cat Hill Allotments,3,25,Early Mature,"Prunusavium
"
"Hendon(A)
",Cat Hill Allotments,6,65,Semi-Mature,"Carpinusbetulus
"
"Hendon(A)
",Cat Hill Allotments,8,59,Early Mature,"Quercusrobur
"
"Hendon(A)
",Vale Farm Allotment,7,28,Early Mature,"Quercussp.
"
"Hendon(A)
",Cherry Tree Hill Allotments,9,100,Mature,"Platanusxhispanica
"
"Hendon(A)
",Cherry Tree Hill Allotments,3,26,Early Mature,"Acerpsuedoplatanus
"
"Hendon(A)
",Cherry Tree Hill Allotments,10,90,Mature,"Acerpsuedoplatanus
"
"Hendon(A)
",Cherry Tree Hill Allotments,3,16,Early Mature,"Prunussp.
"
"Hendon(A)
",Cherry Tree Hill Allotments,4,20,Semi-Mature,"Prunussp.
"
"Hendon(A)
",Cherry Tree Hill Allotments,8,40,Semi-Mature,"Quercussp.
"
"Hendon(A)
",Cherry Tree Hill Allotments,10,80,Mature,"Quercussp.
"
"Hendon(A)
",Thornfield allotments,10,61,,"Acerpsuedoplatanus
"
"Hendon(A)
",Thornfield allotments,8,41,,"Quercusrobur
"
"Hendon(A)
",Thornfield allotments,12,65,,"Quercusrobur
"
"Hendon(A)
",Hospital Fields East & West Allotments,13,107,Mature,"Quercusrobur
"
"Hendon(A)
",Hospital Fields East & West Allotments,12,43,Semi-Mature,"Salixsp.
"
"Hendon(A)
",Hospital Fields East & West Allotments,12,90,Mature,"Quercussp.
"
"Hendon(A)
",Hospital Fields East & West Allotments,13,60,Mature,"Fraxinusexcelsior
"
"Hendon(A)
",Hospital Fields East & West Allotments,8,80,Mature,"Quercussp.
"
"Hendon(A)
",Hospital Fields East & West Allotments,13,67,Mature,"Quercussp.
"
"Hendon(A)
",Deans Lane Allotments,8,100,Mature,"Quercussp.
"
"Hendon(A)
",Hendon Grove Allotments,13.5,60,Mature,"Quercusrobur
"
